pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,836.2914999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,837.7099999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,838.0653999999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,839.0051999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,838.1196999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,835.7198000000001
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,833.8628
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,836.7797999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,837.9093999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,838.1235999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,838.5247999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,838.2417999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,836.4736000000001
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,836.1482999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,838.1512999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,839.1428999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,839.9765999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,840.5260999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,840.2478999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,838.9803000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,837.216
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,838.5952999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,839.4309
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,840.3655999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,841.6796999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,840.7684999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,839.5522000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,838.4943000000001
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,839.4293999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,840.0255999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,840.6357999999997
